commit	overall_score	skills_count	failure_skills	prompt_version	status	description
baseline	0.333	0	1	v2	baseline	Pre-fix baseline: LangSmith traces overwrite local output
fix-trace-fetch	0.780	3	2	v4	kept	Fix trace fetcher to skip empty outputs, preserve local trajectories
search-10-results	0.733	5	1	v4	discarded	Increased search results from 5 to 10 — more noise than signal, scores dropped
max-iter-30	0.608	3	3	v4	discarded	Increased MAX_AGENT_ITERATIONS from 20 to 30 — scores degraded, agent loses coherence with more steps
enable-subagents	0.831	3	1	v4	kept	Enabled research+synthesis sub-agents — improved citation quality and final scores
trust-search-prompt	0.772	3	2	v4	discarded	Added prompt rules about trusting search results — inner loop metaprompt handles this better
model-gpt4o	0.667	2	1	v4	discarded	Swapped gpt-5-mini for gpt-4o — older model performs worse on research tasks
expand-tasks-5	0.744	3	2	v4	kept	Added 2 harder tasks (battery comparison, carbon capture) — new 5-task baseline
max-tokens-16k	0.818	6	1	v3	kept	Set max_tokens=16384 to fix output truncation — scores jumped from 0.744 to 0.818 on 5 tasks
search-news-topic	0.756	4	2	v4	discarded	Set topic="news" on Tavily search — biased too much toward news, missed technical sources
dual-search-tools	0.772	7	3	v4	discarded	Added second news-focused search tool alongside general — added complexity, no improvement
